Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90,Clearances per 90
- - -,,Roberto Piccoli,ST (C),Atalanta,,Italy (Serie A),-,"£200,000 p/w",30/6/2033,ITA,,Trained at club (15-21),191 cm,84 kg,Right,28,Professional,Level-headed,£68M - £91M,39 (2),"3,099",27,13,-,-2.41,17.75,-1.25,0.515,0.076,1.07,0.149,-36,0.029,1.539,11.6,39 (2),39,"3,099",224.88,7.74,27,0.78,234,110,47%,6.8,3.19,9,8,89%,19,24.59,24,1.78,13,0.38,87,2.53,"1,685",48.94,"1,405",40.8,83%,157,62,39%,48,1.39,72,456.8km,442,12.84,332,9.64,75%,0,53,1.54,76%,36,2,0,25,0.73,56,-,-,-,-,-,-,-,-,70,8,76%,7,2,75.59,70,13.266,1.63
- - -,Wnt,Villads Sørensen,"AM (RLC), ST (C)",Atalanta,,Italy (Serie A),-,"£235,000 p/w",30/6/2032,DEN,,Trained at club (15-21),185 cm,79 kg,Left,21,Professional,Level-headed,£147M - £160M,38 (9),"3,214",20,22,-,-3.04,16.2,-2.8,0.454,0.081,1.54,0.149,-31,0.065,1.064,9.94,38 (9),38,"3,214",215.39,7.79,20,0.56,200,101,51%,5.6,2.83,1,1,100%,25,16.96,47,3.91,22,0.62,148,4.14,"1,717",48.08,"1,390",38.92,81%,214,80,37%,71,1.99,81,484.5km,508,14.23,304,8.51,60%,0,38,1.06,83%,50,3,0,41,1.15,33,-,-,-,-,-,-,-,-,46,1,83%,9,9,68.38,46,13.567,0.92
- - -,Wnt,Samuele Ricci,"DM, M (C)",Atalanta,,Italy (Serie A),-,"£240,000 p/w",30/6/2032,ITA,,Trained in nation (15-21),181 cm,69 kg,Right,27,Resolute,Level-headed,£105M - £125M,37 (4),"3,136",5,5,-,-2.8,2.2,-2.8,0.063,0.059,0.91,0.094,-10,0.135,0.775,8.19,37 (4),37,"3,136",242.28,7.21,5,0.14,37,14,38%,1.06,0.4,0,0,-,2,2.2,10,0.88,5,0.14,53,1.52,"3,042",87.3,"2,710",77.77,89%,43,13,30%,20,0.57,26,485.7km,202,5.8,154,4.42,76%,1,27,0.77,73%,16,5,0,41,1.18,85,-,-,-,-,-,-,-,-,37,0,-,1,4,76.49,37,13.939,2.44
- - -,,Sandro Tonali,"DM, M (C)",Man UFC,,England (Premier Division),-,"£220,000 p/w",30/6/2031,ITA,ENG,Trained in nation (15-21),181 cm,77 kg,Right,29,Resolute,Reserved,£76M - £89M,42 (1),"3,301",2,9,-,1.29,3.29,1.29,0.09,0.087,0.61,0.196,16,0.072,1.554,7,42 (1),42,"3,301",241.61,7.13,2,0.05,38,11,29%,1.04,0.3,0,0,-,2,3.29,12,0.75,9,0.25,46,1.25,"3,136",85.5,"2,895",78.93,92%,28,7,25%,9,0.25,32,469.4km,155,4.23,116,3.16,75%,0,57,1.55,83%,48,5,0,41,1.12,66,-,-,-,-,-,-,-,-,69,0,-,0,1,76.77,69,12.798,1.80
- - -,,Frenkie de Jong,"D (C), DM, M (C)",Barcelona,,Spain (First Division),-,"£425,000 p/w",30/6/2031,NED,,-,181 cm,69 kg,Right,32,Model Citizen,"Outspoken, Unflappable",Not for Sale,52,"4,367",12,12,-,-4.65,4.31,-4.69,0.089,0.077,0,0.226,-8,0.061,1.504,8.96,52,52,"4,367",249.2,7.38,12,0.25,56,33,59%,1.15,0.68,4,3,75%,0,7.35,14,0.7,12,0.25,53,1.09,"4,139",85.3,"3,739",77.06,90%,30,7,23%,24,0.49,36,611.1km,269,5.54,182,3.75,68%,5,73,1.5,74%,28,6,0,57,1.17,114,-,-,-,-,-,-,-,-,98,3,74%,7,,83.98,99,12.594,2.35
- - -,,Mohamed Salah,"AM (RLC), ST (C)",Liverpool,,England (Premier Division),-,"£250,000 p/w",30/6/2030,EGY,ENG,-,175 cm,70 kg,Left,36,Light-Hearted,Unflappable,Not for Sale,39 (4),"3,217",17,6,-,-0.44,11.24,0.24,0.314,0.114,1.78,0.057,-25,0.05,0.811,4.49,39 (4),39,"3,217",218.44,7.2,17,0.48,99,51,52%,2.77,1.43,7,6,86%,20,16.56,19,1.91,6,0.17,106,2.97,"1,779",49.77,"1,551",43.39,87%,236,69,29%,33,0.92,62,472.7km,182,5.09,82,2.29,45%,0,29,0.81,73%,37,2,0,36,1.01,30,-,-,-,-,-,-,-,-,40,6,73%,5,4,74.81,40,13.224,0.84
- - -,,Ivan Ilić,"DM, M/AM (C)",Liverpool,,England (Premier Division),-,"£180,000 p/w",30/6/2032,SRB,,-,182 cm,75 kg,Left,28,Resolute,Level-headed,£84M - £119M,19 (15),"2,070",4,2,-,0.88,4.88,0.88,0.212,0.128,0.82,0.053,-7,0.156,1.13,6.32,19 (15),19,"2,070",191.96,6.88,4,0.17,38,13,34%,1.65,0.57,0,0,-,4,4.88,6,0.93,2,0.09,38,1.65,"1,732",75.3,"1,533",66.65,89%,16,6,37%,35,1.52,27,313.5km,99,4.3,59,2.57,60%,0,26,1.13,81%,20,5,0,32,1.39,40,-,-,-,-,-,-,-,-,32,0,-,0,15,60.88,32,13.63,1.74
- - -,,Jurriën Timber,"D (RLC), WB (R), DM, M (C)",Inter,,Italy (Serie A),-,"£120,000 p/w",30/6/2033,NED,CUW,-,179 cm,71 kg,Right,27,Fairly Determined,Level-headed,£42M - £59M,33 (1),"2,703",1,6,-,0.91,1.91,0.91,0.064,0.076,1.57,0.133,4,0.05,2.697,14.36,33 (1),33,"2,703",249.84,7.08,1,0.03,25,10,40%,0.83,0.33,0,0,-,3,1.91,13,0.77,6,0.2,45,1.5,"2,271",75.62,"2,110",70.26,93%,109,25,22%,19,0.63,33,387.3km,200,6.66,168,5.59,84%,4,81,2.7,81%,37,5,0,70,2.33,110,-,-,-,-,-,-,-,-,100,0,-,2,1,79.5,100,12.896,3.66
- - -,,Nicolas Seiwald,"DM, M (C)",Chelsea,,England (Premier Division),-,"£145,000 p/w",30/6/2031,AUT,ENG,-,179 cm,71 kg,Right,28,Fairly Determined,Scouting Required,£56M - £81M,31 (17),"2,977",6,11,-,0.6,6.6,0.6,0.2,0.122,0.3,0.289,13,0.208,1.058,6.09,31 (17),31,"2,977",203,7.11,6,0.18,54,25,46%,1.63,0.76,0,0,-,2,6.6,16,1.53,11,0.33,38,1.15,"2,722",82.29,"2,458",74.31,90%,7,3,42%,10,0.3,26,401.3km,119,3.6,87,2.63,73%,1,35,1.06,73%,39,10,1,38,1.15,50,-,-,-,-,-,-,-,-,48,0,-,3,17,62.02,48,12.132,1.51
- - -,,Jérémy Doku,"M (L), AM (RL), ST (C)",Borussia Dortmund,,Germany (Bundesliga),-,"£76,000 p/w",30/6/2032,BEL,GHA,-,172 cm,70 kg,Right,26,Balanced,Scouting Required,£56M - £68M,32,"2,385",14,1,-,-4.36,9.64,-4.36,0.364,0.099,3.11,0.026,-43,0.233,0.83,5,32,32,"2,385",160.2,7.03,14,0.53,97,50,52%,3.66,1.89,0,0,-,30,9.64,3,0.45,1,0.04,39,1.47,"1,019",38.45,858,32.38,84%,89,16,17%,34,1.28,86,342.6km,252,9.51,92,3.47,37%,0,22,0.83,73%,43,7,0,17,0.64,20,-,-,-,-,-,-,-,-,30,0,-,1,,74.53,30,12.928,0.75
- - -,,Pascal Struijk,"D (C), DM",Tottenham,,England (Premier Division),-,"£155,000 p/w",30/6/2032,BEL,IDN,-,190 cm,75 kg,Either,29,Fairly Professional,Scouting Required,£69M - £99M,42,"3,630",3,2,-,-1.02,1.98,-1.02,0.049,0.083,0,0.154,8,0.122,0.843,23.48,42,42,"3,630",271.25,7.33,3,0.07,24,7,29%,0.6,0.17,0,0,-,0,1.98,3,0.12,2,0.05,13,0.32,"2,984",73.98,"2,843",70.49,95%,1,1,100%,4,0.1,12,410.3km,564,13.98,480,11.9,85%,9,34,0.84,83%,20,5,0,115,2.85,333,-,-,-,-,-,-,-,-,41,0,-,5,,86.43,41,10.173,8.26
- - -,,Leon Goretzka,"DM, M/AM (C)",FC Bayern,,Germany (Bundesliga),-,"£100,000 p/w",30/6/2030,GER,,-,189 cm,81 kg,Right,34,Perfectionist,Scouting Required,Not for Sale,35,"2,894",12,9,-,-6.68,4.56,-6.44,0.142,0.066,0.44,0.167,6,0.13,1.462,8.95,35,35,"2,894",168.94,7.59,12,0.37,69,33,48%,2.15,1.03,1,1,100%,2,5.32,14,1.01,9,0.28,54,1.68,"2,384",74.14,"2,124",66.05,89%,40,12,30%,5,0.16,31,411.6km,195,6.06,150,4.66,77%,3,47,1.46,87%,37,7,0,44,1.37,50,-,-,-,-,-,-,-,-,54,1,87%,5,,82.69,54,12.8,1.55
- - -,Lst,Matheus Nunes,"DM, M (RC), AM (C)",Barcelona,,Spain (First Division),£54M,"£425,000 p/w",30/6/2030,POR,BRA,-,184 cm,78 kg,Right,30,Resilient,"Evasive, Unflappable",£54M,34 (9),"2,873",5,13,-,-0.24,4.76,-0.24,0.149,0.088,0.84,0.232,2,0.063,1.378,8.32,34 (9),34,"2,873",182.98,7.28,5,0.16,54,21,39%,1.69,0.66,0,0,-,4,4.76,18,1.86,13,0.41,56,1.75,"2,548",79.82,"2,214",69.36,87%,29,17,58%,11,0.34,21,411.1km,206,6.45,148,4.64,72%,1,44,1.38,70%,23,4,0,38,1.19,56,-,-,-,-,-,-,-,-,63,0,-,4,9,66.81,63,12.878,1.75
- - -,,Alessandro Bastoni,D (C),Inter,,Italy (Serie A),-,"£300,000 p/w",30/6/2032,ITA,,Trained at club (15-21),190 cm,74 kg,Left,30,Professional,Scouting Required,£46M - £68M,45,"3,944",2,0,-,-0.07,1.93,-0.07,0.044,0.064,2.59,,24,0.14,0.89,25.62,45,45,"3,944",265.98,7.17,2,0.05,30,9,30%,0.68,0.21,0,0,-,5,1.93,1,0.03,0,-,4,0.09,"3,732",85.16,"3,655",83.41,98%,4,1,25%,5,0.11,9,449.3km,744,16.98,652,14.88,88%,3,39,0.89,78%,33,7,1,105,2.4,430,-,-,-,-,-,-,-,-,50,0,-,2,,87.64,50,10.253,9.81
- - -,,Marc Cucurella,D/WB/M/AM (L),R. Madrid,,Spain (First Division),-,"£245,000 p/w",30/6/2031,ESP,,-,172 cm,67 kg,Left,30,Driven,Scouting Required,£36M - £52M,40 (1),"3,193",0,11,-,3.18,3.18,3.18,0.09,0.118,4.4,0.164,29,0.065,2.368,9.91,40 (1),40,"3,193",232.97,7.19,0,-,27,12,44%,0.76,0.34,0,0,-,14,3.18,17,1.35,11,0.31,67,1.89,"1,869",52.68,"1,649",46.48,88%,217,58,26%,56,1.58,37,481.2km,246,6.93,127,3.58,52%,1,84,2.37,91%,66,6,1,85,2.4,72,-,-,-,-,-,-,-,-,92,0,-,2,1,77.88,92,13.563,2.03
- - -,,Nico Mantl,GK,FC Bayern,,Germany (Bundesliga),-,"£105,000 p/w",30/6/2032,GER,,-,193 cm,88 kg,Right,29,Fairly Ambitious,Scouting Required,£60M - £71M,39,"3,225",0,0,19,,,,,,,,-11,,0,,39,39,"3,225",170.5,7.29,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.03,"1,304",36.39,"1,109",30.95,85%,-,-,-,0,-,11,228.4km,-,-,-,-,-,0,0,0,0%,0,0,0,4,0.11,-,27,0.75,19,-2624%,33,13,33,-1%,2,0,-,3,,82.69,,6.374,
- - -,Wnt,Benjamin Pavard,"D (RLC), WB (RL), DM",Liverpool,,England (Premier Division),-,"£125,000 p/w",30/6/2030,FRA,ENG,-,186 cm,75 kg,Right,33,Professional,Scouting Required,£14M - £20M,16 (22),"1,895",0,2,-,0.39,0.39,0.39,0.019,,,0.087,12,0.064,1.947,19.02,16 (22),16,"1,895",127.18,6.92,0,-,6,1,17%,0.28,0.05,0,0,-,3,0.39,2,0.11,2,0.09,23,1.09,"1,335",63.4,"1,223",58.08,92%,66,13,19%,12,0.57,15,262.8km,186,8.83,148,7.03,80%,7,41,1.95,87%,27,3,0,65,3.09,113,-,-,-,-,-,-,-,-,47,0,-,2,22,49.87,47,12.481,5.37
- - -,Wnt,Giacomo Raspadori,"AM (LC), ST (C)",Inter,,Italy (Serie A),-,"£175,000 p/w",30/6/2031,ITA,,Trained in nation (15-21),172 cm,69 kg,Either,29,Spirited,Scouting Required,£60M - £87M,34 (3),"2,896",24,9,-,-2.49,20.75,-2.25,0.645,0.189,1.25,0.164,-34,0.017,1.243,3.85,34 (3),34,"2,896",194.98,7.25,24,0.75,110,62,56%,3.42,1.93,1,1,100%,26,21.51,18,3.58,9,0.28,55,1.71,"1,368",42.51,"1,149",35.71,84%,56,13,23%,66,2.05,65,427.7km,152,4.72,50,1.55,33%,1,40,1.24,67%,31,1,0,17,0.53,18,-,-,-,-,-,-,-,-,60,1,67%,5,3,78.27,60,13.292,0.56
- - -,,Moussa Diaby,M/AM (RL),Bayer 04,,Germany (Bundesliga),-,"£120,000 p/w",30/6/2031,FRA,MLI,-,170 cm,68 kg,Left,29,Fairly Professional,Scouting Required,£59M - £85M,39,"3,235",11,7,-,-1.73,9.27,-1.73,0.258,0.119,2.37,0.152,-29,0.013,1.753,6.22,39,39,"3,235",165.65,7.32,11,0.31,78,31,40%,2.17,0.86,0,0,-,22,9.27,7,0.33,7,0.19,46,1.28,"1,774",49.35,"1,537",42.76,87%,128,38,29%,80,2.23,65,465.8km,158,4.4,86,2.39,54%,0,63,1.75,82%,36,1,0,51,1.42,41,-,-,-,-,-,-,-,-,77,0,-,5,,82.95,77,12.959,1.14
- - -,,Odilon Kossounou,"D (RC), WB (R), DM, M (C)",Man UFC,,England (Premier Division),-,"£120,000 p/w",30/6/2031,CIV,,-,191 cm,79 kg,Right,28,Fairly Ambitious,Scouting Required,£40M - £49M,12 (10),"1,215",0,0,-,1.39,1.39,1.39,0.103,,2.88,0,5,0.03,2,22.24,12 (10),12,"1,215",145.2,7,0,-,9,2,22%,0.67,0.15,0,0,-,4,1.39,1,0.1,0,-,7,0.52,918,68,872,64.59,95%,37,8,21%,5,0.37,11,153.1km,165,12.22,144,10.67,87%,1,27,2,82%,16,1,0,34,2.52,115,-,-,-,-,-,-,-,-,33,0,-,0,10,55.23,33,11.341,8.52
- - -,,Carlos Soler,"WB (R), DM, M/AM (RC)",Valencia,,Spain (First Division),-,"£120,000 p/w",30/6/2030,ESP,,-,180 cm,76 kg,Right,32,Resolute,Scouting Required,£28M - £40M,41,"3,383",7,4,-,1.92,7.4,2.4,0.197,0.093,0.81,0.093,-2,0.048,1.277,6.85,41,41,"3,383",259.72,7.15,7,0.19,80,32,40%,2.13,0.85,2,2,100%,6,8.92,12,0.91,4,0.11,43,1.14,"2,355",62.65,"2,033",54.09,86%,119,38,31%,45,1.2,51,485.8km,183,4.87,112,2.98,61%,2,48,1.28,77%,49,3,1,49,1.3,53,-,-,-,-,-,-,-,-,62,2,77%,2,,82.51,62,12.924,1.41
- - -,Wnt,Joško Gvardiol,D (LC),FC Bayern,,Germany (Bundesliga),-,"£115,000 p/w",30/6/2033,CRO,,-,185 cm,80 kg,Left,27,Resilient,Scouting Required,£55M - £65M,35,"3,027",1,2,-,0.96,1.96,0.96,0.058,0.082,1.53,0.222,3,0.095,0.981,23.23,35,35,"3,027",171.75,7.33,1,0.03,24,5,21%,0.71,0.15,0,0,-,3,1.96,2,0.08,2,0.06,9,0.27,"2,564",76.23,"2,404",71.48,94%,13,5,38%,7,0.21,16,367.4km,414,12.31,354,10.53,86%,10,33,0.98,79%,19,4,0,99,2.94,276,-,-,-,-,-,-,-,-,42,0,-,3,,86.49,42,10.924,8.21
- - -,Wnt,Raheem Sterling,"M (RL), AM (RLC), ST (C)",Man City,,England (Premier Division),-,"£250,000 p/w",30/6/2029,ENG,JAM,-,170 cm,70 kg,Right,34,Professional,Scouting Required,£1.6M - £3.2M,24 (17),"2,482",12,7,-,-3.54,8.46,-3.54,0.307,0.107,0.59,0.175,-29,0.023,1.197,6.75,24 (17),24,"2,482",169.38,7.28,12,0.44,79,31,39%,2.86,1.12,0,0,-,5,8.46,8,0.55,7,0.25,40,1.45,"1,399",50.73,"1,210",43.88,86%,132,35,26%,51,1.85,47,368.6km,173,6.27,94,3.41,54%,0,33,1.2,75%,18,1,0,49,1.78,29,-,-,-,-,-,-,-,-,44,0,-,5,17,60.54,44,13.366,1.05
- - -,Wnt,Aymeric Laporte,D (LC),Man City,,England (Premier Division),-,"£125,000 p/w",30/6/2030,ESP,FRA,-,191 cm,83 kg,Left,34,Fairly Professional,Scouting Required,£6.6M - £9.6M,37 (2),"3,327",0,4,-,1.59,1.59,1.59,0.043,0.076,0,0.25,5,0.058,1.217,19.35,37 (2),37,"3,327",250.3,7.11,0,-,21,7,33%,0.57,0.19,0,0,-,0,1.59,4,0.23,4,0.11,16,0.43,"2,710",73.31,"2,582",69.85,95%,14,2,14%,4,0.11,15,404.7km,485,13.12,354,9.58,73%,4,45,1.22,87%,20,3,0,98,2.65,253,-,-,-,-,-,-,-,-,52,0,-,1,2,85.31,52,10.948,6.84
- - -,,Tanguy Nianzou,"D (RC), WB (L), DM, M (C)",R. Madrid,,Spain (First Division),-,"£110,000 p/w",30/6/2032,FRA,CIV,-,189 cm,85 kg,Right,26,Fairly Determined,Level-headed,£50M - £59M,17 (14),"1,960",0,2,-,1.6,1.6,1.6,0.073,0.08,5,0.143,8,0.065,1.286,18.7,17 (14),17,"1,960",188.35,7.03,0,-,20,7,35%,0.92,0.32,0,0,-,8,1.6,5,0.57,2,0.09,14,0.64,"1,370",62.91,"1,273",58.45,93%,69,21,30%,21,0.96,13,246.6km,238,10.93,199,9.14,84%,4,28,1.29,90%,21,2,0,60,2.76,124,-,-,-,-,-,-,-,-,31,0,-,0,14,63.23,31,11.323,5.69
