,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck C,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean Sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM
,Brahim Díaz,"M (C), AM (RC)",R. Madrid,,Spain (First Division),-,"£120,000 p/w",30/6/2027,MAR,ESP,-,170 cm,68 kg,Right,25,Resolute,Level-headed,£69M - £86M,31 (1),31,"2,299",213.14,7.16,5,0.2,53,19,36%,2.07,0.74,0,0,-,5,7.03,26,3.57,12,0.47,42,1.64,919,35.98,782,30.61,85%,19,1,5%,48,1.88,24,343.2km,95,3.72,21,0.82,22%,0,29,1.14,81%,22,1,0,45,1.76,16,-,-,-,-,-,-,-,-,-,-,-,0
nEU,Lewis Ferguson,"DM, M/AM (C)",Bologna,,Italy (Serie A),-,"£71,000 p/w",30/6/2028,SCO,,-,181 cm,75 kg,Right,25,Spirited,Evasive,£40M - £60M,26 (3),26,"2,345",256.33,7.01,6,0.23,35,16,46%,1.34,0.61,4,2,50%,1,6.1,11,0.88,3,0.12,34,1.3,"1,287",49.39,"1,155",44.33,90%,20,3,15%,47,1.8,21,343.6km,104,3.99,51,1.96,49%,2,68,2.61,72%,54,9,0,68,2.61,16,-,-,-,-,-,-,-,-,-,-,-,2
,Davide Frattesi,"DM, M (C)",Atalanta,,Italy (Serie A),-,"£91,000 p/w",30/6/2028,ITA,,Trained in nation (15-21),184 cm,74 kg,Right,25,Spirited,"Evasive, Reserved",£45M - £49M,30 (5),30,"2,345",166.62,7.25,5,0.19,55,20,36%,2.11,0.77,0,0,-,1,4.06,15,3.03,4,0.15,41,1.57,"1,832",70.31,"1,679",64.44,92%,29,9,31%,69,2.65,30,362.9km,80,3.07,51,1.96,64%,2,67,2.57,81%,28,2,0,66,2.53,21,-,-,-,-,-,-,-,-,-,-,-,0
,Odilon Kossounou,D (RC),Bayer 04,,Germany (Bundesliga),-,"£110,000 p/w",30/6/2029,CIV,,-,191 cm,82 kg,Right,24,Fairly Determined,Media-friendly,£68M,30,30,"2,601",265.29,7.12,3,0.1,14,5,36%,0.48,0.17,0,0,-,2,1.3,1,0.05,0,-,7,0.24,"2,106",72.87,"1,953",67.58,93%,9,3,33%,10,0.35,4,337.0km,200,6.92,147,5.09,74%,10,53,1.83,95%,14,4,0,50,1.73,26,-,-,-,-,-,-,-,-,-,-,-,1
,Oihan Sancet,M/AM (C),A. Bilbao,,Spain (First Division),-,"£33,000 p/w",30/6/2032,ESP,BAS,-,188 cm,73 kg,Right,24,Resolute,Reserved,£69M,28,28,"2,229",254.83,7.17,6,0.24,64,26,41%,2.58,1.05,1,1,100%,0,6.57,11,1.41,5,0.2,39,1.57,915,36.94,777,31.37,85%,29,6,20%,38,1.53,23,328.2km,128,5.17,59,2.38,46%,0,45,1.82,73%,25,0,0,51,2.06,12,-,-,-,-,-,-,-,-,-,-,-,3
,Mason Mount,"DM, M (C), AM (RLC)",Man UFC,,England (Premier Division),-,"£200,000 p/w",30/6/2028,ENG,,-,181 cm,73 kg,Right,26,Driven,Media-friendly,£75M - £109M,6 (12),6,632,114.4,7.01,2,0.28,17,7,41%,2.42,1,0,0,-,3,2.22,3,2.2,1,0.14,15,2.14,323,46,294,41.87,91%,52,10,16%,15,2.14,5,92.7km,31,4.41,14,1.99,45%,0,12,1.71,71%,10,0,0,10,1.42,5,-,-,-,-,-,-,-,-,-,-,-,1
,Quinten Timber,"D (C), DM, M/AM (C)",Borussia Dortmund,,Germany (Bundesliga),-,"£85,000 p/w",30/6/2029,NED,CUW,-,177 cm,71 kg,Right,23,Spirited,"Evasive, Reserved",£80M,24 (1),24,"2,061",258.19,6.97,2,0.09,17,7,41%,0.74,0.31,0,0,-,0,2.02,5,0.36,1,0.04,17,0.74,"1,288",56.24,"1,184",51.7,92%,8,1,12%,19,0.83,14,305.0km,71,3.1,33,1.44,46%,2,55,2.4,80%,12,1,0,47,2.05,18,-,-,-,-,-,-,-,-,-,-,-,1
PR,Gianluca Scamacca,ST (C),Atalanta,,Italy (Serie A),-,"£98,000 p/w",30/6/2027,ITA,,Trained in nation (15-21),195 cm,85 kg,Right,26,Perfectionist,Media-friendly,£62M - £68M,26 (3),26,"2,095",197.25,7.09,15,0.64,109,53,49%,4.68,2.28,2,1,50%,12,13.02,3,0.17,1,0.04,32,1.37,505,21.69,436,18.73,86%,31,6,28%,24,1.03,36,279.0km,189,8.12,80,3.44,42%,0,20,0.86,71%,21,1,0,14,0.6,5,-,-,-,-,-,-,-,-,-,-,-,5
,Boubacar Kamara,"DM, M (C)",Aston Villa,,England (Premier Division),-,"£100,000 p/w",30/6/2027,FRA,,-,184 cm,68 kg,Right,25,Balanced,Level-headed,£48M - £67M,35,35,"2,700",235.97,7.02,1,0.03,21,6,29%,0.7,0.2,0,0,-,1,1.51,7,0.8,5,0.17,28,0.93,"1,715",57.17,"1,547",51.57,90%,14,4,28%,26,0.87,17,405.6km,118,3.93,73,2.43,62%,5,63,2.1,82%,41,5,0,56,1.87,21,-,-,-,-,-,-,-,-,-,-,-,0
,Mateo Retegui,ST (C),Atalanta,,Italy (Serie A),-,"£70,000 p/w",30/6/2029,ITA,ARG,-,185 cm,81 kg,Right,25,Fairly Determined,Level-headed,£48M - £53M,10 (16),10,"1,157",148.38,7.26,12,0.93,50,27,54%,3.89,2.1,3,3,100%,10,10.02,5,1.13,2,0.16,14,1.09,377,29.33,327,25.44,87%,7,2,28%,6,0.47,36,165.4km,105,8.17,44,3.42,42%,0,27,2.1,87%,25,1,0,7,0.54,5,-,-,-,-,-,-,-,-,-,-,-,4
,Loïs Openda,"AM (L), ST (C)",RB Leipzig,,Germany (Bundesliga),-,"£99,000 p/w",30/6/2028,BEL,MAR,-,177 cm,75 kg,Right,25,Ambitious,Outspoken,£73M,30,30,"2,395",241.87,7.13,16,0.6,72,39,54%,2.71,1.47,3,3,100%,40,12.91,12,1.04,2,0.08,28,1.05,591,22.21,491,18.45,83%,38,10,27%,36,1.35,60,326.0km,149,5.6,43,1.62,29%,0,38,1.43,73%,55,1,0,24,0.9,9,-,-,-,-,-,-,-,-,-,-,-,5
,Amine Gouiri,"M/AM (L), ST (C)",Rennes,,France (Ligue 1 Uber Eats),-,"£24,000 p/w",30/6/2027,ALG,FRA,-,180 cm,72 kg,Right,25,Spirited,Evasive,£83M - £104M,21,21,"1,607",111.7,7.18,8,0.45,44,20,45%,2.46,1.12,0,0,-,15,4.4,10,0.57,1,0.06,24,1.34,653,36.57,577,32.31,88%,45,11,24%,55,3.08,27,225.6km,92,5.15,33,1.85,36%,0,52,2.91,88%,31,2,0,26,1.46,6,-,-,-,-,-,-,-,-,-,-,-,1
Rst,Malick Thiaw,"D (C), DM",AC Milan,,Italy (Serie A),-,"£96,000 p/w",30/6/2028,GER,FIN,-,194 cm,89 kg,Right,23,Light-Hearted,"Evasive, Reserved",£46M - £69M,31,31,"2,688",274,7.06,2,0.07,28,13,46%,0.94,0.44,0,0,-,0,2.12,3,0.52,1,0.03,15,0.5,"2,275",76.17,"2,153",72.09,95%,5,1,20%,13,0.44,6,344.0km,199,6.66,154,5.16,77%,11,36,1.21,71%,10,2,0,54,1.81,24,-,-,-,-,-,-,-,-,-,-,-,1
,Joelinton,"M (C), AM (LC), ST (C)",Newcastle,,England (Premier Division),-,"£80,000 p/w",30/6/2028,BRA,,-,186 cm,81 kg,Right,28,Fairly Determined,Media-friendly,£82M - £124M,15 (12),15,"1,377",140.78,6.87,2,0.13,28,8,29%,1.83,0.52,0,0,-,2,3.1,8,2.77,1,0.07,7,0.46,749,48.95,666,43.53,89%,13,4,30%,19,1.24,18,194.6km,74,4.84,41,2.68,55%,1,24,1.57,73%,19,3,0,22,1.44,8,-,-,-,-,-,-,-,-,-,-,-,0
,Hakan Çalhanoğlu,"DM, M/AM (C)",Inter,,Italy (Serie A),-,"£170,000 p/w",30/6/2027,TUR,GER,-,178 cm,69 kg,Right,31,Ambitious,Media-friendly,Not for Sale,22 (4),22,"1,694",150.1,7,3,0.16,39,12,31%,2.07,0.64,3,3,100%,1,4.47,15,1.35,5,0.27,75,3.98,"1,172",62.27,"1,026",54.51,88%,150,43,33%,30,1.59,20,262.5km,37,1.97,9,0.48,24%,1,27,1.43,68%,20,2,1,24,1.28,7,-,-,-,-,-,-,-,-,-,-,-,0
,Morten Frendrup,"DM, M (C)",Atalanta,,Italy (Serie A),-,"£43,000 p/w",30/6/2028,DEN,,-,178 cm,71 kg,Right,23,Fairly Professional,Reserved,£30M - £38M,25 (10),25,"2,069",159.32,7.11,2,0.09,35,10,29%,1.52,0.43,0,0,-,2,2.2,8,1.76,4,0.17,29,1.26,"1,777",77.3,"1,642",71.43,92%,15,6,40%,19,0.83,19,323.8km,59,2.57,13,0.57,22%,2,62,2.7,83%,14,0,0,48,2.09,17,-,-,-,-,-,-,-,-,-,-,-,1
Wnt,Exequiel Palacios,"DM, M (C)",Bayer 04,,Germany (Bundesliga),-,"£82,000 p/w",30/6/2028,ARG,,-,176 cm,69 kg,Right,26,Fairly Determined,Media-friendly,£60M,24,24,"1,916",243.68,7.06,1,0.05,12,3,25%,0.56,0.14,0,0,-,0,0.87,8,1.26,8,0.38,22,1.03,"1,285",60.36,"1,180",55.43,92%,12,3,30%,15,0.7,17,287.2km,47,2.21,19,0.89,40%,1,48,2.25,64%,45,5,2,26,1.22,14,-,-,-,-,-,-,-,-,-,-,-,0
Sct,João Neves,"DM, M/AM (C)",Paris SG,,France (Ligue 1 Uber Eats),-,"£83,000 p/w",30/6/2029,POR,,-,176 cm,67 kg,Right,20,Resolute,Level-headed,£103M,7 (15),7,906,126.82,7.03,5,0.5,25,11,44%,2.48,1.09,0,0,-,0,2.07,0,-,5,0.5,14,1.39,548,54.44,487,48.38,89%,7,3,42%,16,1.59,7,129.3km,40,3.97,26,2.58,65%,0,20,1.99,83%,18,1,1,12,1.19,5,-,-,-,-,-,-,-,-,-,-,-,0
,Domenico Berardi,M/AM (R),Sassuolo,,Italy (Serie A),-,"£115,000 p/w",30/6/2027,ITA,,Trained in nation (15-21),183 cm,72 kg,Left,30,Spirited,Level-headed,£34M - £40M,26,26,"2,310",178.75,6.83,7,0.27,49,21,43%,1.91,0.82,3,2,67%,10,7.68,16,2.05,6,0.23,60,2.34,933,36.35,729,28.4,78%,197,34,12%,58,2.26,58,354.4km,148,5.77,34,1.32,23%,0,76,2.96,83%,56,7,0,64,2.49,20,-,-,-,-,-,-,-,-,-,-,-,2
,Benjamin Šeško,ST (C),RB Leipzig,,Germany (Bundesliga),-,"£93,000 p/w",30/6/2029,SVN,,-,194 cm,85 kg,Right,21,Fairly Ambitious,Level-headed,£94M,22 (1),22,"1,893",254.69,7.12,13,0.62,73,36,49%,3.47,1.71,2,1,50%,24,11.54,7,1.19,0,-,21,1,421,20.02,363,17.26,86%,25,5,20%,32,1.52,45,260.1km,177,8.42,98,4.66,55%,1,32,1.52,82%,30,2,0,20,0.95,9,-,-,-,-,-,-,-,-,-,-,-,3
nEU,Nicolas Jackson,"AM (RLC), ST (C)",AC Milan,,Italy (Serie A),-,"£125,000 p/w",30/6/2029,SEN,GAM,-,186 cm,78 kg,Right,23,Balanced,Level-headed,£89M - £122M,0 (1),-,45,45,6.2,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,22,-,18,-,82%,0,0,-,0,-,1,6.4km,2,-,0,-,0%,0,2,-,100%,1,0,0,1,-,0,-,-,-,-,-,-,-,-,-,-,-,0
,Manuel Locatelli,"DM, M (C)",Juventus,,Italy (Serie A),-,"£92,000 p/w",30/6/2028,ITA,,Trained in nation (15-21),186 cm,75 kg,Right,27,Resolute,Reserved,£96M - £138M,23,23,"1,990",265,7.06,2,0.09,20,6,30%,0.9,0.27,0,0,-,0,1.85,7,0.4,2,0.09,27,1.22,"1,176",53.19,"1,050",47.49,89%,13,5,38%,17,0.77,23,275.0km,89,4.03,61,2.76,69%,0,46,2.08,78%,28,3,0,33,1.49,10,-,-,-,-,-,-,-,-,-,-,-,0
,Kurt Zouma,D (RC),West Ham,,England (Premier Division),-,"£120,000 p/w",30/6/2027,FRA,CTA,-,190 cm,96 kg,Right Only,30,Resolute,Reserved,£44M,21 (7),21,"2,031",128.42,6.94,2,0.09,14,6,43%,0.62,0.27,0,0,-,0,1.33,0,-,0,-,4,0.18,"1,668",73.91,"1,557",69,93%,2,1,50%,4,0.18,3,267.4km,162,7.18,138,6.12,85%,13,38,1.68,76%,18,2,0,42,1.86,36,-,-,-,-,-,-,-,-,-,-,-,1
,Ferland Mendy,D/WB (L),R. Madrid,,Spain (First Division),-,"£170,000 p/w",30/6/2027,FRA,SEN,-,180 cm,73 kg,Left,29,Fairly Determined,Level-headed,£51M - £62M,7 (9),7,786,171.17,6.9,0,-,3,0,0%,0.34,0,0,0,-,1,0.13,8,2.3,2,0.23,9,1.03,508,58.17,455,52.1,90%,45,2,4%,30,3.44,13,117.9km,31,3.55,21,2.4,68%,3,19,2.18,68%,8,0,0,24,2.75,4,-,-,-,-,-,-,-,-,-,-,-,0
,Serhou Guirassy,ST (C),Borussia Dortmund,,Germany (Bundesliga),-,"£150,000 p/w",30/6/2028,GUI,FRA,-,187 cm,82 kg,Right,28,,Scouting Required,£80M - £100M,21,21,"1,752",170.7,6.85,9,0.46,57,31,54%,2.93,1.59,0,0,-,21,9.17,5,0.37,1,0.05,8,0.41,361,18.54,314,16.13,87%,6,0,-,26,1.34,26,234.6km,204,10.48,87,4.47,43%,0,30,1.54,86%,25,1,0,17,0.87,4,-,-,-,-,-,-,-,-,-,-,-,2
,Pablo Maffeo,D/WB (R),Paris SG,,France (Ligue 1 Uber Eats),-,"£60,000 p/w",30/6/2027,ITA,ARG,-,173 cm,68 kg,Right,27,,Scouting Required,£24M - £28M,2,2,154,77,6.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.58,96,56.1,81,47.34,84%,3,0,-,6,3.51,2,26.5km,6,3.51,0,0,0%,1,7,4.09,64%,5,1,0,5,2.92,1,-,-,-,-,-,-,-,-,-,-,-,0
,João Mário,D/WB/M (R),RB Leipzig,,Germany (Bundesliga),-,"£87,000 p/w",30/6/2029,POR,,-,178 cm,68 kg,Right,25,Fairly Loyal,Level-headed,£25M - £29M,1 (1),1,90,90,7.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,1,1,2,2,51,51,45,45,88%,6,1,20%,3,3,1,15.6km,4,4,4,4,100%,0,1,1,100%,3,0,0,4,4,0,-,-,-,-,-,-,-,-,-,-,-,0
,Adrien Truffert,D/WB/M (L),Rennes,,France (Ligue 1 Uber Eats),-,"£44,500 p/w",30/6/2029,FRA,,-,173 cm,62 kg,Left,23,,Scouting Required,£32M - £48M,21,21,"1,836",177.3,7.03,1,0.05,5,1,20%,0.25,0.05,0,0,-,0,0.53,5,0.26,2,0.1,31,1.52,999,48.97,883,43.28,88%,77,8,10%,39,1.91,36,264.1km,72,3.53,40,1.96,56%,5,74,3.63,94%,30,3,0,55,2.7,20,-,-,-,-,-,-,-,-,-,-,-,2
,Caio Henrique,D/WB/M (L),AS Monaco,,France (Ligue 1 Uber Eats),-,"£53,000 p/w",30/6/2028,BRA,ESP,-,179 cm,68 kg,Left,27,,Scouting Required,£39M - £50M,21,21,"1,882",89.62,7.16,0,-,8,2,25%,0.38,0.1,1,0,0%,0,1.81,2,0.1,2,0.1,49,2.34,"1,148",54.9,"1,024",48.97,89%,132,25,19%,47,2.25,25,269.1km,70,3.35,35,1.67,50%,4,66,3.16,89%,21,2,0,51,2.44,30,-,-,-,-,-,-,-,-,-,-,-,4
Wnt,Breel Embolo,"M (R), AM (RC), ST (C)",AS Monaco,,France (Ligue 1 Uber Eats),-,"£63,000 p/w",30/6/2028,SUI,CMR,-,187 cm,88 kg,Right,28,Fairly Determined,Outspoken,£16M - £19M,2 (7),2,319,83.79,7.31,4,1.13,27,15,56%,7.62,4.23,2,2,100%,0,2.43,1,0.84,0,-,6,1.69,98,27.65,84,23.7,86%,4,0,-,6,1.69,2,45.1km,15,4.23,5,1.41,33%,0,2,0.56,33%,3,2,0,4,1.13,1,-,-,-,-,-,-,-,-,-,-,-,2
,Pepê,"D/WB (R), M/AM (RL)",Man City,,England (Premier Division),-,"£210,000 p/w",30/6/2028,BRA,PAR,-,175 cm,69 kg,Right,27,Fairly Determined,Level-headed,£38M - £57M,2 (5),2,255,74.25,6.84,1,0.35,7,2,29%,2.47,0.71,0,0,-,2,0.98,0,-,0,-,1,0.35,106,37.41,90,31.76,85%,7,0,-,9,3.18,7,38.4km,17,6,8,2.82,47%,0,4,1.41,80%,3,0,0,4,1.41,1,-,-,-,-,-,-,-,-,-,-,-,0
,Andreas Christensen,"D (C), DM",Barcelona,,Spain (First Division),-,"£200,000 p/w",30/6/2027,DEN,,-,188 cm,78 kg,Right,28,Fairly Ambitious,Media-friendly,£52M,29 (1),29,"2,536",259.21,7.09,0,-,12,3,25%,0.43,0.11,0,0,-,1,1.42,1,0.14,1,0.04,8,0.28,"1,789",63.49,"1,670",59.27,93%,5,0,-,9,0.32,9,330.9km,173,6.14,114,4.05,66%,7,45,1.6,87%,14,1,0,64,2.27,18,-,-,-,-,-,-,-,-,-,-,-,1
,Denis Zakaria,"DM, M (C)",AS Monaco,,France (Ligue 1 Uber Eats),-,"£36,000 p/w",30/6/2028,SUI,COD,-,190 cm,86 kg,Right,28,Resolute,Media-friendly,£46M - £54M,20,20,"1,707",85.35,7.15,1,0.05,13,3,23%,0.69,0.16,0,0,-,0,0.96,2,0.11,4,0.21,21,1.11,"1,071",56.47,967,50.98,90%,5,3,60%,20,1.05,17,249.4km,83,4.38,50,2.64,60%,2,41,2.16,79%,36,3,0,37,1.95,10,-,-,-,-,-,-,-,-,-,-,-,0
,Manuel Akanji,"D (RLC), DM",Man City,,England (Premier Division),-,"£130,000 p/w",30/6/2027,SUI,NGA,-,187 cm,91 kg,Right,29,Fairly Professional,Level-headed,£44M - £54M,14 (8),14,"1,363",216.14,6.81,0,-,4,1,25%,0.26,0.07,0,0,-,0,0.22,2,0.51,0,-,10,0.66,883,58.31,820,54.15,93%,7,3,42%,6,0.4,7,186.2km,77,5.08,53,3.5,69%,6,35,2.31,90%,16,4,1,33,2.18,14,-,-,-,-,-,-,-,-,-,-,-,0
,Jonathan Tah,D (RC),Bayer 04,,Germany (Bundesliga),-,"£77,000 p/w",30/6/2028,GER,CIV,-,195 cm,94 kg,Right,29,,Scouting Required,£46M - £71M,28,28,"2,440",266.19,6.94,0,-,12,1,8%,0.44,0.04,0,0,-,0,1.28,2,0.1,1,0.04,4,0.15,"1,925",71,"1,802",66.47,94%,1,0,-,5,0.18,7,307.6km,177,6.53,135,4.98,76%,8,25,0.92,69%,11,2,0,67,2.47,25,-,-,-,-,-,-,-,-,-,-,-,1
,Wataru Endo,"DM, M (C)",Brighton,,England (Premier Division),-,"£58,000 p/w",30/6/2027,JPN,,-,178 cm,77 kg,Right,32,,Scouting Required,Not for Sale,4,4,317,79.25,6.9,0,-,1,1,100%,0.28,0.28,0,0,-,0,0,0,-,0,-,2,0.57,208,59.05,175,49.68,84%,1,0,-,2,0.57,0,45.6km,11,3.12,7,1.99,64%,0,8,2.27,62%,4,0,0,8,2.27,2,-,-,-,-,-,-,-,-,-,-,-,0
,André Onana,GK,Man UFC,,England (Premier Division),-,"£110,000 p/w",30/6/2028,CMR,,-,190 cm,93 kg,Right,28,Spirited,Level-headed,£70M - £102M,35,35,"3,112",268.54,7.01,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,"1,135",32.82,"1,072",31,94%,-,-,-,0,-,11,230.5km,-,-,-,-,-,0,2,0.06,50%,1,1,0,0,-,-,35,1.01,15,-856%,28,18,42,-2%,4,2,50%,4
,Presnel Kimpembe,D (C),Paris SG,,France (Ligue 1 Uber Eats),-,"£165,000 p/w",30/6/2026,FRA,COD,-,183 cm,77 kg,Left,29,Light-Hearted,Evasive,£37M - £46M,26 (3),26,"2,282",239.81,6.87,0,-,6,2,33%,0.24,0.08,0,0,-,1,0.58,2,0.1,0,-,8,0.32,"1,790",70.6,"1,672",65.94,93%,4,2,50%,4,0.16,5,298.3km,154,6.07,119,4.69,77%,6,37,1.46,82%,19,2,0,50,1.97,23,-,-,-,-,-,-,-,-,-,-,-,0
